,id,screen_name,lang,created_at,time_zone,followers_count,friends_count,statuses_count
25624,2717819937,funnypoint1,en,Sat Jul 19 14:56:08 +0000 2014,Pacific Time (US & Canada),48931,40485,486
25625,364288781,jeupsheshe,en,Mon Aug 29 14:38:21 +0000 2011,Eastern Time (US & Canada),4,2670,9
25626,2391208283,RivaniaJulia,en,Fri Mar 07 14:37:40 +0000 2014,,906,1993,639
25627,135673782,Cfresh13,en,Thu Apr 22 00:03:46 +0000 2010,Quito,665,539,16921
25629,597746946,katelynn_kline,en,Sat Jun 02 19:10:27 +0000 2012,,918,1974,7360
25631,45979098,myuglyASS,en,Tue Jun 09 23:38:28 +0000 2009,Quito,21570,9987,15805
25632,3219180974,Louist9Official,en,Mon May 18 09:20:36 +0000 2015,,10,27,21
25633,126592212,justpublishing,en,Fri Mar 26 10:46:43 +0000 2010,Paris,114613,81549,37661
25634,776071776,WIL_Schulich,en,Thu Aug 23 14:25:22 +0000 2012,,333,204,458
25636,92996145,indylivenews,en,Fri Nov 27 16:08:56 +0000 2009,Mountain Time (US & Canada),666,653,11732
25638,418400043,ClassDude,en,Tue Nov 22 03:59:25 +0000 2011,Pacific Time (US & Canada),11,126,30
25641,3305135984,sahar_Panda,en,Mon Aug 03 12:52:27 +0000 2015,,65,341,35
25642,1309369932,scottmwilley,en,Thu Mar 28 04:14:43 +0000 2013,,8008,7392,2390
25643,3181563745,my_quotes_today,en,Fri May 01 09:14:59 +0000 2015,Arizona,2595,2732,449
25644,2951525833,wiibeiz,en,Tue Dec 30 05:27:44 +0000 2014,,2053,1617,45
25645,2899590702,dharani9534,en,Fri Nov 14 18:18:59 +0000 2014,,67,473,34
25647,471712269,middleyears,en,Mon Jan 23 05:26:09 +0000 2012,,205,333,440
25648,992034480,kate_emore,en,Wed Dec 05 23:59:34 +0000 2012,,340,453,1772
25649,3131183278,LIGHTat5122,en,Wed Apr 01 19:42:44 +0000 2015,,316,1439,38
25650,3023480990,GIS_ESRI_RR,en,Tue Feb 17 07:35:03 +0000 2015,,3814,2755,2834
25651,27249542,Joe_McClean,en,Sat Mar 28 15:43:16 +0000 2009,Pacific Time (US & Canada),48355,12203,4939
25652,513637278,AbigailRichard6,en,Sat Mar 03 21:45:24 +0000 2012,,344,1744,84
25653,415683657,knafeikun,en,Fri Nov 18 17:26:48 +0000 2011,Eastern Time (US & Canada),12,229,27
25654,2434188367,AlmireShinnick,en,Tue Apr 08 20:13:32 +0000 2014,,152,751,375
25655,2826987240,anevdokimov1991,en,Mon Sep 22 22:11:30 +0000 2014,,1,868,18
25657,4215012881,T50418731,en,Wed Nov 18 03:43:46 +0000 2015,,1,15,38
25658,460035816,ShakitaHiblQYOG,en,Tue Jan 10 09:41:02 +0000 2012,Pacific Time (US & Canada),2781,1496,1563
25659,2530820438,La40Young,en,Wed May 28 20:46:28 +0000 2014,,7587,5177,1226
25661,143140925,knoxschool,en,Wed May 12 18:07:59 +0000 2010,Eastern Time (US & Canada),524,397,771
25662,2859153851,yodabeans,en,Mon Nov 03 17:17:44 +0000 2014,Eastern Time (US & Canada),675,1354,352
25663,49642738,lori_holter,en,Mon Jun 22 14:25:00 +0000 2009,Eastern Time (US & Canada),32,201,61
25664,3047405329,RNJobSTAT,en,Fri Feb 27 18:37:59 +0000 2015,,29,103,7
25665,2201137813,CFG_OBrien,en-gb,Mon Nov 18 11:21:39 +0000 2013,London,663,726,3662
25667,225009426,H_almutawa,en,Fri Dec 10 12:35:44 +0000 2010,Quito,2394,681,36534
25668,66950271,nikhilnelavigi,en,Wed Aug 19 08:43:51 +0000 2009,,40,158,368
25669,2981569407,Hypelee_girl,en,Fri Jan 16 19:29:01 +0000 2015,,20677,19603,194404
25671,2720187616,MissStrangebird,en,Mon Jul 21 22:43:24 +0000 2014,,175,174,7806
25672,1911967734,revelgame,en,Fri Sep 27 18:59:41 +0000 2013,Eastern Time (US & Canada),455,1177,2559
25673,969041952,DenverFilmue,en,Sun Nov 25 00:15:06 +0000 2012,Pacific Time (US & Canada),1,33,132
25675,19678885,KahunaLaguna,en,Wed Jan 28 21:56:14 +0000 2009,Amsterdam,606,895,8606
25678,2508658644,niinemaew,en,Mon May 19 22:56:47 +0000 2014,,18,660,49
25679,34509050,PrChrisGarcia,en,Thu Apr 23 03:02:05 +0000 2009,Eastern Time (US & Canada),676,535,948
25680,84423425,IndoBoard,en,Thu Oct 22 21:02:27 +0000 2009,Eastern Time (US & Canada),3242,2234,8995
25681,453393618,bafortenberry,en,Mon Jan 02 21:49:31 +0000 2012,Atlantic Time (Canada),41,155,614
25682,1514199914,casapicoas,en,Thu Jun 13 19:02:48 +0000 2013,,5,58,12
25683,1058806753,Johnny_coolcat,en,Thu Jan 03 21:10:45 +0000 2013,Amsterdam,5593,5120,14928
25684,56111787,nihatg,en,Sun Jul 12 15:13:44 +0000 2009,Eastern Time (US & Canada),68,223,78
25685,3042098488,OffbeatYA,en-gb,Tue Feb 17 07:40:14 +0000 2015,Rome,98,66,2073
25686,257558859,influentkira,en,Fri Feb 25 17:50:17 +0000 2011,,13,621,3083
25687,2263707356,PrayForLovedOne,en,Fri Dec 27 03:29:12 +0000 2013,Central Time (US & Canada),1524,1745,568
25688,2522527302,VirtAccount,en,Sun May 25 11:38:47 +0000 2014,Athens,952,856,161
25689,325248774,KeithLemelin,en,Tue Jun 28 00:13:22 +0000 2011,,1857,603,1992
25690,347116353,rstussi,en,Tue Aug 02 09:08:36 +0000 2011,Lisbon,459,1085,270
25691,3060266549,CANVAS_2015,en,Tue Feb 24 22:36:50 +0000 2015,Eastern Time (US & Canada),88,680,47
25692,3196031080,accessinvests,en,Wed Apr 22 20:04:09 +0000 2015,,3565,2940,411
25693,490022141,Its_Marvelle,en,Sun Feb 12 04:29:02 +0000 2012,Arizona,368,361,3494
25694,632483744,verena_abdalla,en,Wed Jul 11 01:53:12 +0000 2012,Eastern Time (US & Canada),979,918,15050
25695,3119818406,k_cvitkovic,en,Tue Mar 31 10:19:10 +0000 2015,,67,124,202
25697,2340367127,nazaarii,en,Thu Feb 13 01:23:14 +0000 2014,Atlantic Time (Canada),326,261,1175
25698,25254847,historydiva2006,en,Thu Mar 19 07:22:08 +0000 2009,Central Time (US & Canada),276,2068,670
25699,108914451,OmniaSpace,en,Wed Jan 27 11:51:59 +0000 2010,London,769,1608,2163
25700,1592930640,soogaef,en,Sun Jul 14 09:12:29 +0000 2013,,8,614,35
25701,94564993,Maylinda_sm,en,Fri Dec 04 14:07:55 +0000 2009,Jakarta,307,702,2916
25702,41733534,ncbirch,en,Fri May 22 02:33:42 +0000 2009,Eastern Time (US & Canada),1442,3106,50203
25703,3750709701,e72efdb195ba42a,en,Wed Sep 23 15:43:24 +0000 2015,,135,416,6
25704,58710086,africancrafts,en,Tue Jul 21 05:00:16 +0000 2009,Pretoria,348,803,139
