,id,label1,neutral1,pos1,neg1,label2,neutral2,pos2,neg2,label3,neutral3,pos3,neg3
0,737668819,neg,0.1515965,0.415409471,0.584590529,neutral,0.687675588,0.561196215,0.438803785,pos,0.152313603,0.513135358,0.486864642
1,4211191512,neg,0.063010773,0.467954281,0.532045719,pos,0.313287182,0.763990416,0.236009584,neutral,0.754190119,0.652428945,0.347571055
2,2438413686,neg,0.422758752,0.358908372,0.641091628,pos,0.399785168,0.583071051,0.416928949,pos,0.20665559,0.75613231,0.24386769
3,451436778,pos,0.183838427,0.529328898,0.470671102,neutral,0.665475927,0.498798839,0.501201161,neutral,0.633860905,0.593488936,0.406511064
4,800179322,pos,0.178664198,0.587381946,0.412618054,neg,0.170603609,0.480952111,0.519047889,pos,0.168642242,0.504214855,0.495785145
5,261658325,pos,0.37582549,0.542274466,0.457725534,pos,0.114953381,0.655300215,0.344699785,pos,0.153279921,0.608950337,0.391049663
6,381872892,pos,0.425622913,0.54948264,0.45051736,neg,0.47780934,0.494246053,0.505753947,neutral,0.9594546,0.619437591,0.380562409
7,4143211455,pos,0.123213566,0.681389309,0.318610691,pos,0.067836854,0.568600956,0.431399044,pos,0.246711837,0.786458555,0.213541445
8,3314091134,pos,0.161496159,0.755449098,0.244550902,pos,0.496565189,0.793548589,0.206451411,neutral,0.825912695,0.578389111,0.421610889
9,4111224555,neutral,0.731280001,0.640284429,0.359715571,neutral,0.60773794,0.647241743,0.352758257,neutral,0.910418621,0.622894465,0.377105535
10,227907792,pos,0.335579823,0.500944425,0.499055575,neg,0.484208497,0.43606272,0.56393728,neutral,0.656700895,0.658819876,0.341180124
11,3883927573,neutral,0.72821192,0.72884771,0.27115229,neutral,0.831326035,0.469738865,0.530261135,neg,0.434307705,0.493020857,0.506979143
12,2323860711,neg,0.135885684,0.487548337,0.512451663,neutral,0.536841989,0.46654259,0.53345741,neutral,0.546060718,0.636126399,0.363873601
13,2919115324,neg,0.183336551,0.143489557,0.856510443,neg,0.095629885,0.384354751,0.615645249,neg,0.131786072,0.210243515,0.789756485
14,4042020137,neutral,0.871216971,0.779838218,0.220161782,neg,0.383697292,0.424880542,0.575119458,neutral,0.8475898,0.418399035,0.581600965
15,3231959220,neutral,0.751914258,0.451069896,0.548930104,neg,0.078205488,0.393829508,0.606170492,neg,0.268913225,0.268039529,0.731960471
16,3742259417,neutral,0.783890733,0.560188401,0.439811599,neutral,0.952249885,0.456216841,0.543783159,neutral,0.79758645,0.352752292,0.647247708
