,source,target
0,2647088282,248795646
1,2568011155,248795646
2,88073019,248795646
3,2449306645,248795646
4,344336841,248795646
5,3029664532,248795646
6,435669596,248795646
7,593655831,248795646
8,2894687082,248795646
9,2310411717,248795646
10,1933344853,248795646
11,2854199671,248795646
12,575171437,248795646
13,2374314588,248795646
14,603023146,248795646
15,2333015588,248795646
16,1886774947,248795646
17,2383438688,248795646
18,245738239,248795646
19,19965948,248795646
20,65923008,248795646
21,39588710,248795646
22,4143211455,248795646
23,3503955793,248795646
24,2598696642,248795646
25,720516768,248795646
26,86166414,248795646
27,361049345,248795646
28,509083512,248795646
29,306273486,248795646
30,86913424,248795646
31,534840933,248795646
32,2501937950,248795646
33,109429867,248795646
34,3182035842,248795646
35,1386912380,248795646
36,23888835,248795646
37,2535005509,248795646
38,2915035420,248795646
39,389667813,248795646
40,3257125840,248795646
41,2818134635,248795646
42,800179322,248795646
43,22001225,248795646
44,3158309724,248795646
45,439023236,248795646
46,289117765,248795646
47,2909373560,248795646
48,68193547,248795646
49,2404045194,248795646
50,245226650,248795646
51,1556173574,248795646
52,207322862,248795646
53,2887153407,248795646
54,67727882,248795646
55,111333586,248795646
56,3228008678,248795646
57,913708682,248795646
58,1428391274,248795646
59,363499453,248795646
60,3392666758,248795646
61,46318998,248795646
62,98709047,248795646
63,539769526,248795646
64,80388495,248795646
65,598744244,248795646
66,2291554362,248795646
67,471583774,248795646
68,16192263,248795646
69,2637311022,248795646
70,2595773268,248795646
71,1728674276,248795646
72,2963786194,248795646
73,2860784999,248795646
74,322143412,248795646
75,349301992,248795646
76,2557779278,248795646
77,451436778,248795646
78,37564255,248795646
79,28730760,248795646
80,2921403768,248795646
81,83539371,248795646
82,99503192,248795646
83,1374330576,248795646
84,134487712,248795646
85,3084233609,248795646
86,2838729183,248795646
87,2887357521,248795646
88,3446795788,248795646
89,2426586902,248795646
90,3314091134,248795646
91,190896259,248795646
92,480460778,248795646
93,351253324,248795646
94,170367813,248795646
95,2991244614,248795646
96,89097667,248795646
97,4144587313,248795646
98,287365295,248795646
99,63286648,248795646
100,23593496,248795646
101,608491416,248795646
102,161683568,248795646
103,2809835893,248795646
104,1015366453,248795646
105,61930332,248795646
106,373075096,248795646
107,2911031334,248795646
108,2732021382,248795646
109,397490403,248795646
110,266065717,248795646
111,13549862,248795646
112,18436601,248795646
113,369461363,248795646
114,2902736224,248795646
115,2600937900,248795646
116,49940107,248795646
117,3072515253,248795646
118,219116399,248795646
119,612558250,248795646
120,2723142938,248795646
121,3276941130,248795646
122,2366324084,248795646
123,39351819,248795646
124,288971460,248795646
125,2960533276,248795646
126,2899646590,248795646
127,3450447503,248795646
128,3234604527,248795646
129,558309016,248795646
130,382376527,248795646
131,113941007,248795646
132,2357687126,248795646
133,3076153043,248795646
134,417842783,248795646
135,513535520,248795646
136,21581988,248795646
137,2655527641,248795646
138,420694930,248795646
139,589322045,248795646
140,64483323,248795646
141,1367730182,248795646
142,2911461815,248795646
143,3345949253,248795646
144,2165080617,248795646
145,19754094,248795646
146,575117611,248795646
147,258093389,248795646
148,2581879058,248795646
149,3190012202,248795646
150,1596682009,248795646
151,2319072834,248795646
152,19992385,248795646
153,3302948303,248795646
154,2610379987,248795646
155,3283735286,248795646
156,3122111151,248795646
157,296313827,248795646
158,75186942,248795646
159,391350149,248795646
160,2986252592,248795646
161,2993661070,248795646
162,428510904,248795646
163,2773761224,248795646
164,207404407,248795646
165,1344449089,248795646
166,17209277,248795646
167,19441262,248795646
168,1690719372,248795646
169,57617174,248795646
170,2484846805,248795646
171,2951341677,248795646
172,50081895,248795646
173,3109122729,248795646
174,2435995986,248795646
175,3007559826,248795646
176,1101751873,248795646
177,2157670393,248795646
178,365833553,248795646
179,40292114,248795646
180,327069673,248795646
181,241140426,248795646
182,3514757235,248795646
183,411901773,248795646
184,540787216,248795646
185,250852792,248795646
186,885938647,248795646
187,2991245282,248795646
188,3023218459,248795646
189,3116468368,248795646
190,331648349,248795646
191,985944344,248795646
192,207204329,248795646
193,2871959037,248795646
194,2591399552,248795646
195,2873557426,248795646
196,625979816,248795646
197,1161145332,248795646
198,896203087,248795646
199,250347338,248795646
200,3092097566,248795646
201,243724106,248795646
202,3025097812,248795646
203,919881014,248795646
204,2303490614,248795646
205,2550331752,248795646
206,1005604728,248795646
207,3189641902,248795646
208,29804632,248795646
209,1699096916,248795646
210,3249139538,248795646
211,261658325,248795646
212,86972590,248795646
213,2981832653,248795646
214,1552126188,248795646
215,265802225,248795646
216,2194286772,248795646
217,3604537274,248795646
218,1263222630,248795646
219,2535739088,248795646
220,2784470562,248795646
221,2821410358,248795646
222,53211871,248795646
223,492957954,248795646
224,227907792,248795646
225,2520700514,248795646
226,3104024210,248795646
227,2424405716,248795646
228,2466292364,248795646
229,1864169040,248795646
230,722022206,248795646
231,233892696,248795646
232,2734361280,248795646
233,2437648297,248795646
234,264071741,248795646
235,770380836,248795646
236,334028125,248795646
237,2434618518,248795646
238,179940298,248795646
239,387092250,248795646
240,1261937952,248795646
241,253365755,248795646
242,1389406855,248795646
243,2824441518,248795646
244,2552973426,248795646
