,id,screen_name,lang,created_at,time_zone,followers_count,friends_count,statuses_count
5132,333114401,Rihamabdallah92,en,Mon Jul 11 00:46:53 +0000 2011,Cairo,38,143,95
5236,3392666758,mayngxoxo,en,Tue Jul 28 20:17:06 +0000 2015,,524,2027,988
5295,3604537274,thesalimiftari,en,Fri Sep 18 11:30:54 +0000 2015,,41,346,93
5345,1728674276,MichaelMarley4,en,Wed Sep 04 12:50:08 +0000 2013,,13137,141,169
5351,14382374,StevenLanni,en,Mon Apr 14 07:21:20 +0000 2008,Central Time (US & Canada),53,149,129
5385,2894687082,kokishimazu,en,Sun Nov 09 12:36:14 +0000 2014,Seoul,3569,566,691
5387,4042020137,Studentsity,en,Sun Oct 25 22:38:55 +0000 2015,Eastern Time (US & Canada),77,317,112
5549,382376527,fosterrfreeze,en,Thu Sep 29 23:43:03 +0000 2011,Pacific Time (US & Canada),361,451,1356
5734,428812828,joemcgarrigle,en,Mon Dec 05 06:26:46 +0000 2011,Atlantic Time (Canada),411,1999,611
5736,3231959220,antimanny,en,Sun May 31 22:41:33 +0000 2015,Pacific Time (US & Canada),76,150,186
5759,3742259417,charlescholland,en,Tue Sep 22 20:26:57 +0000 2015,,236,1800,29
5994,341144490,marcmoore13,en,Sat Jul 23 21:50:45 +0000 2011,Pacific Time (US & Canada),181,456,514
6093,18436601,Amphetamobile,en,Sun Dec 28 23:19:14 +0000 2008,Eastern Time (US & Canada),678,889,1579
6208,198532943,NALC_National,en,Mon Oct 04 15:29:33 +0000 2010,Eastern Time (US & Canada),6888,2559,5613
6341,363656889,RottenPhysicist,en,Sun Aug 28 13:32:17 +0000 2011,Eastern Time (US & Canada),23,302,58
6410,349710398,BharatiSawant,en,Sat Aug 06 15:25:22 +0000 2011,,99,885,18
6529,207322862,Jean_CHM,en,Mon Oct 25 02:00:16 +0000 2010,,49,414,495
6617,2873557426,M_DigiPub,en,Wed Nov 12 09:00:16 +0000 2014,,94,106,746
6741,250852792,brandblogs,en,Fri Feb 11 23:11:50 +0000 2011,Eastern Time (US & Canada),18,70,32
6876,84772025,mgupta_1,en,Sat Oct 24 05:11:27 +0000 2009,Pacific Time (US & Canada),605,1706,723
6883,2887357521,LongevityWellOT,en,Fri Nov 21 21:47:58 +0000 2014,,75,335,373
6903,3233309342,BishnuBn,en,Tue Jun 02 07:52:49 +0000 2015,,88,622,176
6904,39351819,NY2O,en,Mon May 11 21:51:07 +0000 2009,Eastern Time (US & Canada),692,1979,886
6926,541332936,TreyDay_100,en,Sat Mar 31 00:54:45 +0000 2012,Central Time (US & Canada),270,237,13247
7029,371898274,rneubauer93,en,Sun Sep 11 18:39:08 +0000 2011,Central Time (US & Canada),649,1957,696
7104,1118625800,joseph_obaje,en,Fri Jan 25 06:57:34 +0000 2013,,719,3992,261
7110,3706343775,geekusslavicus,en,Sat Sep 19 11:04:08 +0000 2015,Warsaw,425,1002,107
7190,411901773,DesmondF12,en,Mon Nov 14 01:17:22 +0000 2011,,7968,370,434
7191,366811006,hellehero,en,Fri Sep 02 21:33:17 +0000 2011,,194,322,605
7219,707547960,Ayman_Babikir,en,Fri Jul 20 18:00:02 +0000 2012,Abu Dhabi,94,167,742
7247,201788204,RadiKova,en,Tue Oct 12 16:35:34 +0000 2010,Eastern Time (US & Canada),159,253,425
7331,3890534359,truedeckard,en,Wed Oct 14 10:02:20 +0000 2015,,76,141,125
7354,3282973915,MedianPolitics,en,Sat Jul 18 02:47:17 +0000 2015,Pacific Time (US & Canada),52293,121,1705
7411,3331463763,McGillEBOH,en,Wed Jun 17 16:59:41 +0000 2015,,143,153,95
7436,383029483,Abstractcabrera,en,Sat Oct 01 04:10:46 +0000 2011,Atlantic Time (Canada),234,222,2578
7453,3657763277,digivocabulary,en,Mon Sep 14 23:06:05 +0000 2015,London,2773,1321,156
7515,727310635,nikki_a14,en,Tue Jul 31 01:51:49 +0000 2012,Eastern Time (US & Canada),227,665,5038
7527,272096919,Tangerina001,en,Fri Mar 25 20:41:11 +0000 2011,Greenland,33,474,472
7807,3650177413,elanatraj,en,Tue Sep 22 15:51:07 +0000 2015,,40,435,50
7834,254643462,drougas123,en,Sat Feb 19 18:07:40 +0000 2011,Quito,259,554,1173
7991,64950641,abhyst66,en,Wed Aug 12 05:33:30 +0000 2009,,28,478,6
