,id_str,created_at,retweet_count,favorite_count,text
0,550481173219409920,Thu Jan 01 02:38:33 +0000 2015,0,1,Where is Ms. Frizzle? @ournameisMAGIC School Bus much? #RockinEve
1,536892139318571009,Mon Nov 24 14:40:35 +0000 2014,0,1,@ashleylamar_ I'm really hungry.
2,536889452111884288,Mon Nov 24 14:29:54 +0000 2014,0,0,@ashleylamar_ it just got super cold in here.
3,536884468142071808,Mon Nov 24 14:10:06 +0000 2014,0,1,@ashleylamar_ go for it
4,536884330334003201,Mon Nov 24 14:09:33 +0000 2014,1,0,@ashleylamar_ this is extremely ineffective...
5,535487104995037184,Thu Nov 20 17:37:29 +0000 2014,4019,0,"RT @FriendlyAssh0le: I just
really 
really 
really
really
really
really
really
really
really
don't give a shit"
6,535480180962508800,Thu Nov 20 17:09:58 +0000 2014,0,0,@PerrinMeg #2hipster4u
7,535479866733637632,Thu Nov 20 17:08:43 +0000 2014,1,1,@PerrinMeg but that vibrato tho
8,534331727339356160,Mon Nov 17 13:06:25 +0000 2014,0,1,@ashleylamar_ that's probably a good idea.
9,534330985576689664,Mon Nov 17 13:03:29 +0000 2014,0,1,@ashleylamar_ I'm really upset that I wasn't invited.
10,534319752584654848,Mon Nov 17 12:18:50 +0000 2014,0,0,@ashleylamar_ girl where are you?
11,532876144283234304,Thu Nov 13 12:42:27 +0000 2014,0,0,@ashleylamar_ my bedroom.
12,530389590210019328,Thu Nov 06 16:01:47 +0000 2014,6089,0,RT @RelatableQuote: Inspiring quote of the day http://t.co/ZXDrtRPKDT
13,529400599188885504,Mon Nov 03 22:31:53 +0000 2014,1248,0,RT @chancetherapper: Home Alone 2 &gt; Home Alone
14,529399681659703297,Mon Nov 03 22:28:14 +0000 2014,568,0,RT @The_HelenKeller: I think I can play better defense than the Indianapolis Colts
15,529246305902931968,Mon Nov 03 12:18:46 +0000 2014,1,0,@ashleylamar_ plot twist: I insult you daily and I hate you.
16,528401206327394304,Sat Nov 01 04:20:39 +0000 2014,0,0,Not having to set an alarm for the first time in three months is stressing me out.
17,527484263160356864,Wed Oct 29 15:37:03 +0000 2014,6366,0,RT @yaboybillnye: a chemistry lab is pretty much like a wild rave some drop acid and others drop the base
18,527064285617594368,Tue Oct 28 11:48:12 +0000 2014,0,0,Screw today.
19,526767500110082048,Mon Oct 27 16:08:53 +0000 2014,0,1,@PerrinMeg waiting by the window.
20,526765705229000704,Mon Oct 27 16:01:45 +0000 2014,1,1,@PerrinMeg tryna count all the stars in the sky. Bitch wut.
21,526765153627701248,Mon Oct 27 15:59:34 +0000 2014,1,1,@PerrinMeg Bitch you guessin'
22,525703215330119680,Fri Oct 24 17:39:48 +0000 2014,0,0,"Everybody's playing the game, but nobody's rules are the same."
23,525320840188293120,Thu Oct 23 16:20:22 +0000 2014,0,1,It's raining and I love it. ☔️⚡️☁️
24,524361467408424960,Tue Oct 21 00:48:10 +0000 2014,184,0,RT @alexalosey: I can do it because I believe I can do it
25,524345634258976769,Mon Oct 20 23:45:15 +0000 2014,0,0,A little humiliation would do a lot of people a lot of good.
26,524147162251526144,Mon Oct 20 10:36:36 +0000 2014,0,0,You're everything I don't want to be
27,523984882629115906,Sun Oct 19 23:51:45 +0000 2014,0,1,#GoUMASS http://t.co/1lMF2xKiXU
28,520956914851938305,Sat Oct 11 15:19:42 +0000 2014,0,0,Too tired to do anything.
29,520836702286663680,Sat Oct 11 07:22:01 +0000 2014,0,1,It's 3:30 in the morning and I just got home from a field trip.
30,520028691574063104,Thu Oct 09 01:51:16 +0000 2014,0,0,"Sleeping is hard when bedtime turns into ""Let's have everyone make as much noise as possible ever."""
31,519953431969419265,Wed Oct 08 20:52:13 +0000 2014,0,1,@ashleylamar_ Shrek called. He wants his face back.
32,519887231293857792,Wed Oct 08 16:29:09 +0000 2014,0,0,Sucking at lifeeeee
33,519551270462316545,Tue Oct 07 18:14:10 +0000 2014,0,0,Casually not going to half of my classes this week.
34,519547049994248192,Tue Oct 07 17:57:24 +0000 2014,0,0,Too tired to function.
35,519447245000028160,Tue Oct 07 11:20:48 +0000 2014,1049,0,RT @ChrisWesseling: Russell Wilson had more rushing yards in the opening minutes than Trent Richardson has had in any single game with the …
36,519281604615995393,Tue Oct 07 00:22:36 +0000 2014,0,0,@BuzzFeed is the reason why I have senioritis.
37,519273844826456065,Mon Oct 06 23:51:46 +0000 2014,0,0,Being a Senior is so stressful. So much to do. So many deadlines. So much money. So many opportunities to screw up the rest of my life.
38,519224787202506752,Mon Oct 06 20:36:50 +0000 2014,0,1,@ashleylamar_ here to help. 😘
39,519163634334072832,Mon Oct 06 16:33:50 +0000 2014,0,1,@ashleylamar_ you look like a potato with filters on wut
40,519083800945770496,Mon Oct 06 11:16:36 +0000 2014,13,0,RT @Catcher_13: What's sleep anyways?
41,518918386332762112,Mon Oct 06 00:19:19 +0000 2014,0,1,"@ashleylamar_ I'm really sorry, I know this isn't about me, I just couldn't resist. 😊"
42,518918088793030656,Mon Oct 06 00:18:08 +0000 2014,0,0,@ashleylamar_ the feeling isn't mutual...
43,518917341095411712,Mon Oct 06 00:15:09 +0000 2014,0,1,@ashleylamar_ I think that was my favorite thing you've ever said to me.
44,518916929843900416,Mon Oct 06 00:13:31 +0000 2014,0,0,"@ashleylamar_ oh don't worry, you're still a 10 on the PH scale. 😘"
45,518916633835089920,Mon Oct 06 00:12:21 +0000 2014,0,1,@ashleylamar_ you're tacky and I hate you.
46,518913485041061888,Sun Oct 05 23:59:50 +0000 2014,0,0,Don't waste your time on someone who won't give you the time of day.
47,518480262578307072,Sat Oct 04 19:18:22 +0000 2014,77551,0,RT @Michael5SOS: Fuckballs shitdicks assnipples cockfuck FUCK
48,517370763880718336,Wed Oct 01 17:49:37 +0000 2014,48379,0,RT @Luke5SOS: Oh my I am tired
49,516569877742891008,Mon Sep 29 12:47:10 +0000 2014,0,0,Yeah nope. I'm all done with today.
50,514877523394826240,Wed Sep 24 20:42:22 +0000 2014,0,1,"So much to do, just want to sleep"
51,514519360359391232,Tue Sep 23 20:59:09 +0000 2014,0,0,You know you're a dancer when: you own more tights than actual pants...
52,514016669363347456,Mon Sep 22 11:41:38 +0000 2014,0,0,😷😷😷
53,513689291856551937,Sun Sep 21 14:00:45 +0000 2014,0,0,"The last shall be first, and the first shall be last."
54,513454711564165120,Sat Sep 20 22:28:37 +0000 2014,0,0,Fevers are rad.
55,512382059084791808,Wed Sep 17 23:26:17 +0000 2014,0,0,Birthday shoutout to the US Constitution. ✌️🇺🇸
56,512265894182281216,Wed Sep 17 15:44:41 +0000 2014,57485,0,RT @Michael5SOS: Fuck shit
57,512086648319148032,Wed Sep 17 03:52:25 +0000 2014,0,0,🏀
58,510991114267291648,Sun Sep 14 03:19:10 +0000 2014,0,0,What.
59,507301715390255104,Wed Sep 03 22:58:48 +0000 2014,12875,0,RT @Nashgrier: Try and make someone else smile today
60,507144940515000320,Wed Sep 03 12:35:50 +0000 2014,0,0,Is it Monday? I just want my senior privileges to activate...
61,506839147894816768,Tue Sep 02 16:20:44 +0000 2014,0,0,First day of school shenanigans. ✌️ http://t.co/lc3Igf2Xps
62,504666534833561600,Wed Aug 27 16:27:32 +0000 2014,0,1,Practice today. ✌️💜
63,504345901708881921,Tue Aug 26 19:13:27 +0000 2014,1436,0,RT @EmilyOsment: If you say pumpkin spice latte 3 times in a row a white girl in yoga pants will appear and tell you her favorite things ab…
64,503980396183584768,Mon Aug 25 19:01:04 +0000 2014,0,0,17th birthday nose piercing. ✌️
65,485080162401521664,Fri Jul 04 15:18:17 +0000 2014,3,10,"It's really easy to wear red, white, and blue when you're a @BostonCannons fan. ❤💙🇺🇸"
66,484866232332865536,Fri Jul 04 01:08:12 +0000 2014,0,0,Thunderstorms are my favorite
67,452141058067951616,Fri Apr 04 17:50:03 +0000 2014,0,0,#NED2014
68,448294022948220928,Tue Mar 25 03:03:18 +0000 2014,0,0,You know you're an AP Student when: Your vocabulary study sheet for one unit is 19 pages long. #APProbs.
69,446627286557536256,Thu Mar 20 12:40:17 +0000 2014,0,0,"14+ inches of snow, and I still have to go to school. ❄⛄"
70,446530199677440000,Thu Mar 20 06:14:30 +0000 2014,0,1,First day of spring? Digging myself out with my snow shovel. #Spring
71,446402242619637760,Wed Mar 19 21:46:03 +0000 2014,16142,0,RT @Luke5SOS: I'm so tired
