,id_str,created_at,retweet_count,favorite_count,text
0,669045674990632960,Tue Nov 24 06:51:33 +0000 2015,0,0,"@VipulAh75164087, Hi,  Teach Online! ==&gt; https://t.co/X1U7WxxIwm via https://t.co/j6WuqxgW8X"
1,669045673094832128,Tue Nov 24 06:51:33 +0000 2015,0,0,"@pref_hyogo_, Hi,  Teach Online! ==&gt; https://t.co/X1U7WxxIwm via https://t.co/j6WuqxgW8X"
2,669045671261966336,Tue Nov 24 06:51:32 +0000 2015,0,0,"@LaChavaJessica, Online teaching for complete beginners. ==&gt; https://t.co/X1U7WxxIwm via https://t.co/j6WuqxgW8X"
3,668679680292065280,Mon Nov 23 06:37:13 +0000 2015,0,0,"@PMokgomole, Hi,  Teach Online! ==&gt; https://t.co/X1U7WxxIwm via https://t.co/j6WuqxgW8X"
4,668679678308151296,Mon Nov 23 06:37:13 +0000 2015,0,0,"@Mpumekhum, Online teaching for complete beginners. ==&gt; https://t.co/X1U7WxxIwm via https://t.co/j6WuqxgW8X"
5,668679676395585536,Mon Nov 23 06:37:12 +0000 2015,0,1,"@Baking_Bigfoot, Hi,  Teach Online! ==&gt; https://t.co/X1U7WxxIwm via https://t.co/j6WuqxgW8X"
6,668316100216512513,Sun Nov 22 06:32:29 +0000 2015,0,0,"@flickquickapp, Hi,  Teach Online! ==&gt; https://t.co/X1U7WxxIwm via https://t.co/j6WuqxgW8X"
7,668316098371043329,Sun Nov 22 06:32:29 +0000 2015,0,0,"@ErosPonzi1, Online teaching for complete beginners. ==&gt; https://t.co/X1U7WxxIwm via https://t.co/j6WuqxgW8X"
8,668316096487780353,Sun Nov 22 06:32:28 +0000 2015,0,0,"@SupAdventureUK, Hi,  Teach Online! ==&gt; https://t.co/X1U7WxxIwm via https://t.co/j6WuqxgW8X"
9,667952347750883329,Sat Nov 21 06:27:04 +0000 2015,0,0,"@Willsmith2050, Hi,  Teach Online! ==&gt; https://t.co/X1U7WxxIwm via https://t.co/j6WuqxgW8X"
10,667952345850888192,Sat Nov 21 06:27:03 +0000 2015,0,0,"@llavipak, Online teaching for complete beginners. ==&gt; https://t.co/X1U7WxxIwm via https://t.co/j6WuqxgW8X"
11,667952343778902016,Sat Nov 21 06:27:03 +0000 2015,0,0,"@secretoflies, Hi,  Teach Online! ==&gt; https://t.co/X1U7WxxIwm via https://t.co/j6WuqxgW8X"
12,667588699861872640,Fri Nov 20 06:22:03 +0000 2015,0,0,"@officialDDCpage, Online teaching for complete beginners. ==&gt; https://t.co/X1U7WxxIwm via https://t.co/j6WuqxgW8X"
13,667588697999589376,Fri Nov 20 06:22:03 +0000 2015,0,0,"@alexpromotionz1, Hi,  Teach Online! ==&gt; https://t.co/X1U7WxxIwm via https://t.co/j6WuqxgW8X"
14,667588695982104576,Fri Nov 20 06:22:02 +0000 2015,0,0,"@Counsel4Living, Hi,  Teach Online! ==&gt; https://t.co/X1U7WxxIwm via https://t.co/j6WuqxgW8X"
15,667225212174249984,Thu Nov 19 06:17:41 +0000 2015,0,0,"@wpshrug, Online teaching for complete beginners. ==&gt; https://t.co/X1U7WxxIwm via https://t.co/j6WuqxgW8X"
16,667225210320392192,Thu Nov 19 06:17:41 +0000 2015,0,0,"@HazelNove, Hi,  Teach Online! ==&gt; https://t.co/X1U7WxxIwm via https://t.co/j6WuqxgW8X"
17,667225208340672514,Thu Nov 19 06:17:40 +0000 2015,0,0,"@roger12371, Hi,  Teach Online! ==&gt; https://t.co/X1U7WxxIwm via https://t.co/j6WuqxgW8X"
18,666861235275599872,Wed Nov 18 06:11:22 +0000 2015,0,0,"@NigelPWhittaker, Online teaching for complete beginners. ==&gt; https://t.co/X1U7WxxIwm via https://t.co/j6WuqxgW8X"
