,id_str,created_at,retweet_count,favorite_count,text
0,518199670330642432,Sat Oct 04 00:43:23 +0000 2014,0,0,@USArmy @FtBraggNC
1,313681853200605184,Mon Mar 18 16:02:36 +0000 2013,0,1,EDITORIAL: Energy's bad charges - Washington Times: http://t.co/3E7fpR0UI2 via @washtimes
2,312987941259579392,Sat Mar 16 18:05:14 +0000 2013,0,0,@ericbolling  SaviCorp is a co that can bring Dems &amp; Reps together &amp; WH should invest in-better gas mileage; no emissions; jobs!
3,312987769678995456,Sat Mar 16 18:04:33 +0000 2013,0,0,@megynkelly  SaviCorp is a co that can bring Dems &amp; Reps together &amp; WH should invest in-better gas mileage; no emissions; jobs!
4,312987680961093632,Sat Mar 16 18:04:12 +0000 2013,0,0,@JonathanHoenig  SaviCorp is a co that can bring Dems &amp; Reps together &amp; WH should invest in-better gas mileage; no emissions; jobs!
5,312987396566298624,Sat Mar 16 18:03:05 +0000 2013,0,0,@WayneRogers1  SaviCorp is a com that can bring Dems &amp; Reps together &amp; WH should invest in-better gas mileage; no emissions; jobs!
