,id_str,created_at,retweet_count,favorite_count,text
0,668311875092807680,Sun Nov 22 06:15:42 +0000 2015,1,2,"Job Vacancy - Regional Digital Marketing Specialist, TNS | LEARNfree https://t.co/YZa7pQ3xGu"
1,666885393485275136,Wed Nov 18 07:47:22 +0000 2015,0,0,"Job Vacancy - Senior Consultant, Cyber Security -Indonesia | LEARNfree https://t.co/S1VMNgch6A"
2,666498943933657088,Tue Nov 17 06:11:45 +0000 2015,0,0,Job Vacancy - Assistant Manager - Finance/Accounting | LEARNfree https://t.co/kqu0Opvimz
3,666496845191979008,Tue Nov 17 06:03:25 +0000 2015,0,0,Job Vacancy - Linux Administrator | LEARNfree https://t.co/RfQe6hM5eV
4,666495065561407488,Tue Nov 17 05:56:21 +0000 2015,0,0,Job Vacancy - Senior Specialist (m/f) Internal Audit | LEARNfree https://t.co/0VEryV4mNA
5,666493687036252161,Tue Nov 17 05:50:52 +0000 2015,0,0,Job Vacancy - Global Product Manager Digital Retail | LEARNfree https://t.co/cZQl6axWKp
6,666212876114403329,Mon Nov 16 11:15:01 +0000 2015,0,0,Job Vacancy - Junior Java Developer | LEARNfree https://t.co/7oQ8i7nJXL
7,666211249894596608,Mon Nov 16 11:08:34 +0000 2015,0,0,Job Vacancy - Production Supervisor | LEARNfree https://t.co/FKv4JiIKNF
8,666209638069706756,Mon Nov 16 11:02:09 +0000 2015,0,0,Job Vacancy - IT Site Administrator | LEARNfree https://t.co/tEnhFQEOwe
9,666207740361076736,Mon Nov 16 10:54:37 +0000 2015,0,0,Job Vacancy - Sr. Research Manager | LEARNfree https://t.co/sQRirzskVW
10,666205677916962817,Mon Nov 16 10:46:25 +0000 2015,0,0,Job Vacancy - Senior Paralegal | LEARNfree https://t.co/ilr32EeX4Q
11,666204069116162048,Mon Nov 16 10:40:02 +0000 2015,0,0,Job Vacancy - Procurement Category Manager | LEARNfree https://t.co/FhwlwqTXIf
12,666202079380271104,Mon Nov 16 10:32:07 +0000 2015,0,1,"Job Vacancy - Account Director, Media Sales | LEARNfree https://t.co/aWefSfNfiO"
13,666200370360786945,Mon Nov 16 10:25:20 +0000 2015,0,0,Job Vacancy - Head of North American Procurement | LEARNfree https://t.co/9zM8rZA2g7
14,665781326834962432,Sun Nov 15 06:40:12 +0000 2015,0,0,Job Vacancy - Research Director- Retail - TNS RMS Nigeria | LEARNfree https://t.co/YK4D6D5x1h
15,665057136611885056,Fri Nov 13 06:42:32 +0000 2015,0,0,"Job Vacancy - Managing Director, TNS Turkey | LEARNfree https://t.co/NDAoxIWmPR"
16,665055795495747585,Fri Nov 13 06:37:12 +0000 2015,0,0,Job Vacancy - TNS UK Placement Scheme 2016 | LEARNfree https://t.co/IB5HJIwrEx
17,665054275719024640,Fri Nov 13 06:31:10 +0000 2015,0,0,Job Vacancy - TNS Graduate Scheme 2016 | LEARNfree https://t.co/81tVCgI1su
18,663591954152820736,Mon Nov 09 05:40:25 +0000 2015,0,0,Job Vacancy - Senior Research Executive/Research Manager | LEARNfree https://t.co/dXHs075BHv
19,663590084025950208,Mon Nov 09 05:32:59 +0000 2015,0,0,Job Vacancy - Senior Account Manager – Retail Servicing | LEARNfree https://t.co/9HldovjGTb
20,663587968511275008,Mon Nov 09 05:24:35 +0000 2015,0,0,Job Vacancy - (Senior) HR Business Manager | LEARNfree https://t.co/TzF5rQIBfC
21,663585791227133953,Mon Nov 09 05:15:56 +0000 2015,0,0,Job Vacancy - Project Support Coordinator | LEARNfree https://t.co/kH5zesaUkO
22,663584019058135040,Mon Nov 09 05:08:53 +0000 2015,0,0,Job Vacancy - Marketing Manager - TNS Global | LEARNfree https://t.co/ED8butqqQj
23,662163953355792384,Thu Nov 05 07:06:03 +0000 2015,0,0,"Job Vacancy - Key Account Director, APAC, Chinese Clients | LEARNfree https://t.co/xyNeW7mcWg"
24,662162172177473536,Thu Nov 05 06:58:58 +0000 2015,0,0,Job Vacancy - APAC Executive – Data In (VB Programmer) | LEARNfree https://t.co/x2bpGRVdKV
