,id_str,created_at,retweet_count,favorite_count,text
0,667164437590110208,Thu Nov 19 02:16:11 +0000 2015,1,0,"The Cobalt Co50 Valkyrie is a super sleek $750,000 personal plane https://t.co/tpPveCSmxq via @mashable"
1,665283827779039232,Fri Nov 13 21:43:19 +0000 2015,271,0,RT @katiezez: Spotted outside a Ted Cruz rally in Orlando https://t.co/5nvzx4URpZ
2,657673184125276160,Fri Oct 23 21:41:20 +0000 2015,2,1,Enter @BFGoodrichCAN’s contest for the chance to win a VIP #GreyCup experience: https://t.co/gIljUqab8b
3,657609922712989700,Fri Oct 23 17:29:58 +0000 2015,4,0,RT @LTGHoroho: RT @ArmyMedicine: #Sleep plays a vital role in maintaining a healthy body &amp; mind.   #PerformTriad https://t.co/ae8b4Gfc3b
4,657225359146946560,Thu Oct 22 16:01:50 +0000 2015,18,0,RT @hplusdesign: FDA Clears 23andMe For Health and Carrier Status Testing https://t.co/9ucSYrVnPn #DigitalHealth #DNA #Genetics https://t.c…
5,652371003763355648,Fri Oct 09 06:32:22 +0000 2015,2336,0,"RT @NASANewHorizons: Amazing! Blue Skies and Water Ice found on #Pluto. Enjoy! :-) 
http://t.co/IhzepXEo60 http://t.co/Xmd8MyvoiJ"
6,647907067546591232,Sat Sep 26 22:54:17 +0000 2015,4,0,"RT @FarbodSaraf: Whenever someone claims that AI will soon dominate the world, show them this. — randal_olson http://t.co/4Fm3jIjvAR"
7,644895502639628292,Fri Sep 18 15:27:24 +0000 2015,0,0,"@AgoraPulse Just noticed the new release; It's fairly spectacular! I like deals, but after seeing the new version, i'll purchase regardless."
8,644550816414601217,Thu Sep 17 16:37:44 +0000 2015,0,1,"Hello @agorapulse, I'm looking for a new #SocialSales tool! Do you have any coupon codes available for your Medium plan?"
9,640637922274742272,Sun Sep 06 21:29:17 +0000 2015,23,0,RT @pastordudley: May we forever remember the Persecuted Church and pray for those who are imprisoned for th… http://t.co/NNj1U3pKMZ http:/…
10,639973648913199109,Sat Sep 05 01:29:42 +0000 2015,1950,0,"RT @Heineken_NL: Hi @Google, you’ve inspired us too… #Googlelogo #SmilingE http://t.co/RIuysTkdsk"
11,639591325499703296,Fri Sep 04 00:10:29 +0000 2015,255,0,RT @ValaAfshar: Stunning MIT invention allows you to reach through the screen and touch http://t.co/6QbN40cHTC
12,639119549900525568,Wed Sep 02 16:55:49 +0000 2015,1,0,RT @marialopord: Optimising MAI campaigns when.... #isntagram placement appears on #fb! #excited http://t.co/2FxangWZrm
13,638745540377776128,Tue Sep 01 16:09:38 +0000 2015,0,1,Google has a new logo http://t.co/aGMRIEz2fA via @VentureBeat
14,638544778443911168,Tue Sep 01 02:51:53 +0000 2015,0,0,"Cenote Angelita: ""Underwater River"" #mexico http://t.co/cYPmVRh4KD"
15,638518483983077376,Tue Sep 01 01:07:24 +0000 2015,3,0,RT @TheYoutubediva: #internetbattleplan #AutoMarketing http://t.co/bXzazaTRqC
16,637019371114655744,Thu Aug 27 21:50:27 +0000 2015,0,0,@xenous There is No Such Thing as a Split License http://t.co/18tdIA3VAy @envato @wpbakery @collis @automattic
17,637006773849747456,Thu Aug 27 21:00:24 +0000 2015,0,1,"Go buy a Teen Burger from @AWCanada and $1 will be donated to help #endMS in Canada! Good food, great cause!"
18,637002964796751872,Thu Aug 27 20:45:16 +0000 2015,0,0,@xenous These strong-handed tactics of @envato and @wpbakery are out of compliance with WP's GPL for derivative works @collis @automattic
19,636992905018667008,Thu Aug 27 20:05:17 +0000 2015,0,0,@xenous I support your stand. You have rights granted to you as a WP Dev through Downstream licensing of GPL @collis http://t.co/V79OhPeHwU
20,636988317981020160,Thu Aug 27 19:47:04 +0000 2015,0,0,WordPress Licensing and Bully Authors backed by @Envato https://t.co/RUUIYAvHGl … via @ultimatumtheme
21,636731613099896832,Thu Aug 27 02:47:01 +0000 2015,1,0,"RT @CansoyGurocak: According to various reports, #mobile internet is now more often used than desktop #internet.
#telecommunication http://…"
22,636233505555501058,Tue Aug 25 17:47:43 +0000 2015,0,0,"Project Sunroof is currently helping people save with solar in: SF Bay Area, Fresno CA and Greater Boston MA. http://t.co/esPLsOPUQB"
23,636037556325367809,Tue Aug 25 04:49:05 +0000 2015,3,0,"RT @cele_worship: ""I love my church because I can be real! I am loved, not judged, by my imperfections."" 
#I❤️MyChurch http://t.co/XJtzdoS4…"
24,634710915976310784,Fri Aug 21 12:57:29 +0000 2015,9,0,RT @Frommers: The Best of the Best of #Travel Instagrammers: http://t.co/iYqg03uFvT http://t.co/HOOi39tsu5
25,629737798933745664,Fri Aug 07 19:36:05 +0000 2015,19,0,"RT @acre: EPA accidentally spills millions of gallons of #wastewater, turning river orange http://t.co/esvkSaK9Y1 http://t.co/i7f5pww9Dr"
26,629394174727458817,Thu Aug 06 20:50:39 +0000 2015,748,0,"RT @humansofdub: ""I was just on my way to the American sweet shop to buy some Gatorade, when...""
 
#energyofireland http://t.co/T9LsAQ664s"
27,628686681072209920,Tue Aug 04 21:59:19 +0000 2015,43,0,"RT @Slate: At long last, there's an IMDB for web projects. Web obsessives, meet Makerbase: http://t.co/xN4TovTW8D http://t.co/lmYDcQ6652"
28,627369989633277952,Sat Aug 01 06:47:16 +0000 2015,2,0,RT @RyanBell_18: 3 Important Church Trends in the Next Ten Years http://t.co/npRH14SCcF via @edstetzer
29,627306036131594241,Sat Aug 01 02:33:08 +0000 2015,0,0,#storyrap is Back.... Thank you @lildickytweets https://t.co/Y0SOTpo5Cs ◬
30,627189131865554944,Fri Jul 31 18:48:36 +0000 2015,118,0,"RT @Yup__itsGarrick: This gotta be the funniest thing I've seen out of the whole Drake/Meek ""beef""😂 http://t.co/ken6SeCZM6"
31,627170841415921664,Fri Jul 31 17:35:55 +0000 2015,44,0,RT @buffer: Why Facebook Is Blue: The Science of Colors in Marketing: http://t.co/ToZjFi3ZFB http://t.co/ME22wQWeuV
32,627170298861740033,Fri Jul 31 17:33:46 +0000 2015,0,0,This controversial Internet policy has divided Americans for years. Now Canada's just adopted it. http://t.co/fIUeq0vtx9
33,626893834945851392,Thu Jul 30 23:15:12 +0000 2015,1,0,RT @SumaiyaWood: A wonderful reminder about the assumptions we sometimes make... https://t.co/BXVZmmzJ9n
34,626568277288841216,Thu Jul 30 01:41:33 +0000 2015,9,0,"RT @BBC_Autos: My other car is a $295,000, 600-horsepower tank: http://t.co/XTBV4QvQi1 @HoweandHoweTech http://t.co/j4kEJnjTvi"
35,625678381959393280,Mon Jul 27 14:45:25 +0000 2015,2,0,RT @Flippa: SEO - Spy on your competitors with meta Meta Keywords: http://t.co/XjmYrzt4ZK
36,624411596178075648,Fri Jul 24 02:51:40 +0000 2015,0,0,"LinkedIn quietly removes tool to export contacts, makes users wait up to 72 hours for their data archive http://t.co/T6BCw35bbH"
37,623970623400710144,Wed Jul 22 21:39:24 +0000 2015,21550,0,"RT @Tesco: Hey Drake, we’ve got some ready-made wraps too… http://t.co/wprts9aBdN"
38,623398059343347712,Tue Jul 21 07:44:14 +0000 2015,250,0,"RT @TomiLahren: This isn't a ""Republican"" thing. This is an AMERICAN thing! https://t.co/Y3UZZ93aVH #NoogaStrong #TomiLahren #TomiOnPoint #…"
39,623220423182827520,Mon Jul 20 19:58:22 +0000 2015,5,0,RT @natalia_BRIC: What do you think? :) #quotes #thoughts #interesting #True #Reality #tomgoodwin http://t.co/TFA5Exw9yU
