,id_str,created_at,retweet_count,favorite_count,text
25,669089329910849536,Tue Nov 24 09:45:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$319.186; Bitstamp:$321.05; Bitfinex:$321.5; Kraken:$324.08999;   https://t.co/gHIKBc6mvg
26,669085552638042112,Tue Nov 24 09:30:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$319.3; Bitstamp:$321.05; Bitfinex:$321.44; Kraken:$324.09;   https://t.co/gHIKBc6mvg
27,669081780331397120,Tue Nov 24 09:15:02 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$319.35; Bitstamp:$321.03; Bitfinex:$321.56; Kraken:$324.09615;   https://t.co/gHIKBc6mvg
28,669078002672734209,Tue Nov 24 09:00:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$318.704; Bitstamp:$321.08; Bitfinex:$321.9; Kraken:$324.52641;   https://t.co/gHIKBc6mvg
29,669074230152208384,Tue Nov 24 08:45:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$319.327; Bitstamp:$321.27; Bitfinex:$321.96; Kraken:$324.21242;   https://t.co/gHIKBc6mvg
30,669070457698656256,Tue Nov 24 08:30:02 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$319.109; Bitstamp:$320.96; Bitfinex:$321.45; Kraken:$325.54;   https://t.co/gHIKBc6mvg
31,669066680182702080,Tue Nov 24 08:15:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$319.111; Bitstamp:$320.65; Bitfinex:$321.08; Kraken:$324.31;   https://t.co/gHIKBc6mvg
32,669062904864460800,Tue Nov 24 08:00:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$319.419; Bitstamp:$321.19; Bitfinex:$321.94; Kraken:$323.15731;   https://t.co/gHIKBc6mvg
33,669059129760194560,Tue Nov 24 07:45:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$319.553; Bitstamp:$321.51; Bitfinex:$322.05; Kraken:$322.12663;   https://t.co/gHIKBc6mvg
34,669055355394084865,Tue Nov 24 07:30:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$319.569; Bitstamp:$321.51; Bitfinex:$321.97; Kraken:$322.12663;   https://t.co/gHIKBc6mvg
35,669051581334204417,Tue Nov 24 07:15:02 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$318.591; Bitstamp:$321.51; Bitfinex:$321.9; Kraken:$322.29756;   https://t.co/gHIKBc6mvg
36,669047803272929280,Tue Nov 24 07:00:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$319.244; Kraken:$321.76; Bitstamp:$321.82; Bitfinex:$322.11;   https://t.co/gHIKBc6mvg
37,669044030865543168,Tue Nov 24 06:45:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$319.87; Bitfinex:$321.63; Bitstamp:$322.23; Kraken:$322.25357;   https://t.co/gHIKBc6mvg
38,669040255853592576,Tue Nov 24 06:30:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$319.057; Bitstamp:$321.5; Bitfinex:$321.84; Kraken:$321.85;   https://t.co/gHIKBc6mvg
39,669036479981711360,Tue Nov 24 06:15:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$318.954; Bitstamp:$321.86; Kraken:$322.04999; Bitfinex:$322.2;   https://t.co/gHIKBc6mvg
40,669032706781667328,Tue Nov 24 06:00:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$318.907; Campbx:$320; Bitfinex:$321.52; Kraken:$321.54327;   https://t.co/gHIKBc6mvg
