,id_str,created_at,retweet_count,favorite_count,text
0,667334221086777345,Thu Nov 19 13:30:51 +0000 2015,8,0,"RT @Elverys: Louise Galvin talks life, sport and gaining perspective in her latest column. 

https://t.co/yLRfDEnjTp https://t.co/mfz4YcTW4b"
1,666353980369412096,Mon Nov 16 20:35:43 +0000 2015,0,0,So proud @cmoloney3 first cap and post match interview 👏🏻🍀🏉😂 https://t.co/sEj1ZwzLrD
2,666011747195711490,Sun Nov 15 21:55:49 +0000 2015,0,1,"'Sport is a very powerful tool, it has the power to change the world’. Nations coming together this… https://t.co/ecEwUGpeGA"
3,665957466958614528,Sun Nov 15 18:20:07 +0000 2015,64,0,"RT @ChrisLeDuff: Moment d émotion ce matin, Les sélections nationales ensembles.. #Soutiens ⚫️🏉🇫🇷🇪🇸🇮🇪🇵🇹🇬🇧  Merci à tous #Paris https://t.co…"
4,665262203382202368,Fri Nov 13 20:17:23 +0000 2015,6,0,RT @LeinsterWomen: Brilliant start for our girls &amp; what a debut for @KimFlood9 🍀 @RFCRailwayUnion @IrishRugby #COYGIG #W7  #RoadToRio  http…
5,665108173980872704,Fri Nov 13 10:05:20 +0000 2015,15,0,RT @Rugby_femenino: Streaming Elche Seven @EnglandRugby7s @FranceRugby7s @PortugalRugby @ireland_rugby @ScrumQueens https://t.co/1yoqn93kfl
6,664916985688518656,Thu Nov 12 21:25:37 +0000 2015,12,0,RT @JenJen_Murf: The #sportswomen #calendar is now on sale https://t.co/US8PXE88qJ  @sportswomenIRL #playerprofiles @StephanieRoche9 https:…
7,663292885530464256,Sun Nov 08 09:52:01 +0000 2015,4,4,G'luck in the Cup Final 2day @beccajunior7 @SarsRowe Sinead Taylor @emma_hanz KO12.20pm RTE2 🔴👚 https://t.co/wwb7JPCGzK
8,662927968939941888,Sat Nov 07 09:41:59 +0000 2015,26,0,"RT @rugbymedia: Watch @FFRugby v @EnglandRugby Women on @SkySportsRugby SS4 via the red button this evening, 8pm. #sendhervictorious https:…"
9,662927023543869441,Sat Nov 07 09:38:13 +0000 2015,0,1,@beccajunior7 tomorrow I think 😂🙈.. Its too early #edit
10,662925420170510337,Sat Nov 07 09:31:51 +0000 2015,0,1,All the best to @OFFICIALFoxCab Ladies today in the Senior Club Leinster Final today.
11,661313172503207937,Mon Nov 02 22:45:21 +0000 2015,9,0,RT @SportforBusines: Inspiring words from an inspiring leader in sport for #BWOTY15 https://t.co/KGsClByhUG @CoghlanFiona @LibertyIRL https…
12,661174028825206784,Mon Nov 02 13:32:27 +0000 2015,2,0,RT @NoraStapleton: Women's All-Ireland League Round-Up : Irish Rugby | Official Website: https://t.co/Qq0DpjmUio
13,661173029871951872,Mon Nov 02 13:28:28 +0000 2015,15,0,RT @JenJen_Murf: ON SALE NOW! @sportswomenIRL Calendar 2016 featuring some of Irelands best athletes. An ideal gift for any occasion. https…
14,660752197270007808,Sun Nov 01 09:36:14 +0000 2015,191,0,RT @SundayShoutsFC: Jordan Ibe misplaces a pass. Klopp offers him his glasses. https://t.co/Yiw5rXIths
15,660750954225078272,Sun Nov 01 09:31:18 +0000 2015,1,0,RT @karenflood78: Happy birthday lil sis. Have a great day love you #lilsis #birthdaygirl… https://t.co/SXlIRwF0si
16,660554930298724352,Sat Oct 31 20:32:22 +0000 2015,1,0,"RT @RFCRailwayUnion: Huge win for the W1s today against highfield in the AIL league, 37-0. Great team performance!"
17,659158979269033988,Wed Oct 28 00:05:21 +0000 2015,23,0,"RT @FAIreland: Here's the highlights of #IRLWNT's great win over Portugal in #EURO2017 qualifying today. https://t.co/fXSKB7rBSO
#COYGIG #W…"
18,659071692464107520,Tue Oct 27 18:18:31 +0000 2015,74,0,RT @FAIreland: FULL TIME - 2-1 #IRLPOR #IRLWNT have beaten Portugal 2-1 in their EURO2017 qualifier thanks to goals from Louise Quinn and A…
19,659000183800381440,Tue Oct 27 13:34:22 +0000 2015,1,0,RT @TCooney11: @CooneyCiara @cmoloney3 unreal girls congrats! #ShoulderToShoulder 🍀🏉 https://t.co/oTLTcs7azM
20,656750952423256064,Wed Oct 21 08:36:43 +0000 2015,23,0,RT @iresport: Spectacular drone video shows just how much the National Sports Campus has come along (via @the42_ie) https://t.co/jDLDPKIZAR
21,656384009556140032,Tue Oct 20 08:18:37 +0000 2015,3,0,RT @JenJen_Murf: Sportswomen calender for 2016 with @sportswomenIRL  NOW ON SALE at http://t.co/D3DC9UOEs6  #womeninsport http://t.co/X9tmp…
22,656228434516025344,Mon Oct 19 22:00:25 +0000 2015,0,1,What a weekend in Cardiff #ferries #trains #taxis #adventure #wales #rwc2015 #friends #foreignfriends… https://t.co/w5AfCaFVdG
23,654062755914358784,Tue Oct 13 22:34:47 +0000 2015,2052,0,RT @BrianODriscoll: This is so wrong on many levels. One of the greatest leaders &amp; players of them all. Inspirational.  https://t.co/8blR5e…
24,653265782034534400,Sun Oct 11 17:47:54 +0000 2015,731,0,RT @rugbyworldcup: Tries from @KearneyRob and @ConorMurray_9 help #IRE to victory over #FRA and put them top of Pool D at #RWC2015 http://t…
25,652232701953617921,Thu Oct 08 21:22:48 +0000 2015,492,0,RT @irishexaminer: The goal that won the game. #sportlive #IREvGER https://t.co/7hJ9sp5znH
26,650022004171632640,Fri Oct 02 18:58:17 +0000 2015,1,1,"@LauraScan11 She sure is, she has the gin ready for your return 😂 #weddingcrashers"
27,650016764005363716,Fri Oct 02 18:37:27 +0000 2015,0,0,@LauraScan11 Yes are ye home? Come visit 💃💃
28,648993906852503552,Tue Sep 29 22:52:59 +0000 2015,2,2,No words for these two headers inabutler_x @laurascan11 #WeddingCrashers #Budapest #LifeOfTheParty… https://t.co/CBox7aezRP
29,647108058099896320,Thu Sep 24 17:59:18 +0000 2015,48,0,"RT @AIGIreland: The third #DublinOurTeam episode is here. All eyes on the @dublinladiesg senior football team…
https://t.co/Jmr2UI2unh"
30,647081393911123969,Thu Sep 24 16:13:21 +0000 2015,37,0,"RT @dublinladiesg: Check out this Inspirational video from the @AIGIreland mini series #DublinOurTeam #COYGIB
https://t.co/iYZ5Je8fj3 http:…"
31,647025954393583616,Thu Sep 24 12:33:03 +0000 2015,9,0,RT @dublinladiesg: Thanks @wagamamaireland for looking after the Dubs tonight! #COYGIB http://t.co/rnH30XsiGi
32,646733299839275008,Wed Sep 23 17:10:09 +0000 2015,2,0,RT @PhotosWsj: Our 800 tweet goes to @dublinladiesg @CorkLGFA @KimFlood9 @corkery5 @RenaBucks @LadiesFootball @OfficialCamogie @WaterfordLG…
33,646279036596027392,Tue Sep 22 11:05:04 +0000 2015,239,0,RT @VodafoneIreland: RT to support those bullied online &amp; the Vodafone Foundation will donate 14c to @ISPCCChildline.  #BeStrong http://t.c…
34,644488982374543360,Thu Sep 17 12:32:02 +0000 2015,6,7,#AllIn #BeTheDiff @Clannagaelfont @dublinladiesg http://t.co/gqRxEKHntQ
35,644253015084539904,Wed Sep 16 20:54:23 +0000 2015,56,0,"RT @SundayShoutsFC: A free-kick routine like no other...
http://t.co/uHIWPxMocz"
36,640587614903472128,Sun Sep 06 18:09:23 +0000 2015,0,11,Epic wkend of Sport. Buzzing to be back in Croke Park with this bunch of girls #AllIn #BlueArmy 👕 http://t.co/bMlb8zIlVc
37,640423443196985344,Sun Sep 06 07:17:02 +0000 2015,1,0,RT @Aaron_c91: Flashy passing from the lay in flashy boots @KimFlood9 Dublin in cruise control 1-5 t 0 up after 12
38,640254079709650944,Sat Sep 05 20:04:02 +0000 2015,1,12,#Happy 🙌🏻👕💙 http://t.co/JEPIuJ1tFN
39,640240835196514304,Sat Sep 05 19:11:24 +0000 2015,114,0,"RT @DubGAAOfficial: What a day for the Lads and Ladies of Dublin GAA!

We now have 2 All Ireland Finals to look forward to!

#UpTheDubs htt…"
40,639714932381102081,Fri Sep 04 08:21:39 +0000 2015,9,0,RT @dublinladiesg: Check out @KimFlood9 interview with @WeAreDub she looks forward to the SF vs Armagh #COYGIB https://t.co/ESJ1Cl3h7p http…
41,639204863809847296,Wed Sep 02 22:34:50 +0000 2015,0,1,@Aaron_c91 I can get my agent to organise something just for you Aaron 😄
42,639170689698824192,Wed Sep 02 20:19:02 +0000 2015,11,0,RT @dublinladiesg: Go to @AIGIreland Facebook page for info on how you can win tickets to BOTH of Saturday's semi finals #COYGIB http://t.c…
43,638973178468036608,Wed Sep 02 07:14:11 +0000 2015,2,0,RT @WeAreDub: EXCLUSIVE INTERVIEW WITH DUBLIN SENIOR LADIES STAR BACK SORCHA FURLONG #COYGIB #ALLIRE #DLGFA #SEMIFINAL #DUBVARM http://t.co…
44,638439576449740800,Mon Aug 31 19:53:51 +0000 2015,2,0,RT @WeAreDub: Thanks to @gregs194 @sorchafurlong @KimFlood9 and Hannah Noonan for your time for interviews &amp; photos today. #COYGIB http://t…
45,638353908272922624,Mon Aug 31 14:13:26 +0000 2015,1,2,@GAApics @Gregs194 @dublinladiesg @ShinnFinn @Goldieface @Clannagaelfont @sorchafurlong @WeAreDub please use Hannah's 🙈
46,638349667806408704,Mon Aug 31 13:56:35 +0000 2015,8,0,RT @GAApics: Thanks to @sorchafurlong @KimFlood9 &amp; Hannah Noonan for their time for photos at @dublinladiesg Media Event. http://t.co/fdj99…
47,637900782243840000,Sun Aug 30 08:12:52 +0000 2015,8,0,RT @LeinsterWomen: Winners!!!Full time 15-5 for our women in blue!! Thanks @Connachtwomen for this fantastic match! #WomensInterpros15 http…
48,637284059379576832,Fri Aug 28 15:22:14 +0000 2015,9,0,RT @canterburyNZ: Come down to the @AVIVAStadium tomorrow to show off your best swan dive. #CommittedToTheGame https://t.co/qwYxFsc2kQ
49,637250338941239296,Fri Aug 28 13:08:14 +0000 2015,1,1,@LauraScan11 Budapest 💃
50,637247216965525504,Fri Aug 28 12:55:50 +0000 2015,1,0,RT @LauraScan11: Hope you're having a good summer @KimFlood9 ☔️ http://t.co/MUWZAIMol8
51,637247169729310721,Fri Aug 28 12:55:39 +0000 2015,0,0,@LauraScan11 Still waiting on that Indian Summer @conorj008 👏🏻👏🏻. Miss the west #ComeVisit
52,636576674411376640,Wed Aug 26 16:31:20 +0000 2015,24,0,RT @dublinladiesg: Dublin Senior Capt @LyndseyDavey urges Dub's fans to come to Parnell Pk on Sept 5th for Semi Final v Armagh #COYGIB http…
53,636495505476972545,Wed Aug 26 11:08:48 +0000 2015,6,0,RT @98FM: Great news for @dublinladiesg who will play their All-Ireland semi-final on very familiar ground #COYGIB #UpTheDubs http://t.co/b…
54,636465030670741504,Wed Aug 26 09:07:42 +0000 2015,27,0,RT @dublinladiesg: TG4 All Ireland SF Dublin v Armagh will take place in PARNELL PARK on Sat Sept 5th at 5pm #COYGIB http://t.co/ica1pPBN89
55,635533461277790209,Sun Aug 23 19:25:59 +0000 2015,1,0,"RT @Aaron_c91: @KimFlood9 @IrishRugby brilliant image, perfect example of a diving challenge great weekend for family with your win yesterd…"
56,635532381630238720,Sun Aug 23 19:21:42 +0000 2015,3,12,Congrats to @IrishRugby W7's securing Qualification on the World Series. Super Tournament 👏🏻👏🏻 http://t.co/GADKiQpMrz
57,635524266293903360,Sun Aug 23 18:49:27 +0000 2015,10,0,RT @sportswomenIRL: Ireland Qualify for the World Series http://t.co/o0gIUkQdjC http://t.co/eop4C1PaeZ
58,635524070071779329,Sun Aug 23 18:48:40 +0000 2015,56,0,RT @IrishRugby: It's going to be a big year for us - @LucyMulhall #womens7s http://t.co/WtddL1qJaO http://t.co/mL8g6jErYL
59,635524005269794817,Sun Aug 23 18:48:24 +0000 2015,535,0,RT @Football__Tweet: The free-kick routine that leaves the goalkeeper with no chance. http://t.co/uFAJ9MTsnh
60,635478887909224449,Sun Aug 23 15:49:08 +0000 2015,0,2,@IrishRugby 7s QUALIFIED for the World Series 💃💃Cup Final @ 17:38 v Japan #COYGIG http://t.co/0uREAVY6ka
61,635427619656351744,Sun Aug 23 12:25:24 +0000 2015,0,8,Big game for @IrishRugby 7s v South Africa in the Cup Semi KO 2.20pm live at the UCD Bowl @StaceyFlood http://t.co/GDwCQfnEbi
