,id_str,created_at,retweet_count,favorite_count,text
0,616733371067031552,Thu Jul 02 22:21:08 +0000 2015,31,41,If you're not moving forward you're losing ground. http://t.co/Uh2UhhXtsp
1,614156790255611904,Thu Jun 25 19:42:43 +0000 2015,26,44,Can you handle it? http://t.co/5pqGIYKpxL
2,613841577920692224,Wed Jun 24 22:50:11 +0000 2015,48,48,This is a very important visual. http://t.co/0hGxhYWKxb
3,612040340762050561,Fri Jun 19 23:32:43 +0000 2015,34,45,Why would you ever want it any other way? http://t.co/LZCWZlnuEg
4,611029189488087040,Wed Jun 17 04:34:45 +0000 2015,34,53,Take notes http://t.co/ZlPgCtKfnd
5,611028789271724034,Wed Jun 17 04:33:10 +0000 2015,20,31,"People call me crazy.
I call them lazy."
6,607992517590540288,Mon Jun 08 19:28:06 +0000 2015,71,73,Risk and reward is the game of life. http://t.co/AqXtgOBKPt
7,607992221317464064,Mon Jun 08 19:26:56 +0000 2015,26,24,Some people will never understand the deep satisfaction you feel from improving your body through fitness and I truly pity them.
8,605400806649524224,Mon Jun 01 15:49:34 +0000 2015,54,52,The path to success is not a straight road. http://t.co/JUJoyEthBB
9,600796560109142016,Tue May 19 22:53:56 +0000 2015,22,44,"Yeah, I'm obsessed with my body. If you put the work and time into your own body, maybe you'd understand too."
10,598666158619774976,Thu May 14 01:48:29 +0000 2015,24,73,Girls that squat stay winning http://t.co/RLQAZx9VYK
11,598666075861950464,Thu May 14 01:48:09 +0000 2015,44,46,🙌 http://t.co/gz3FOWLLR0
12,598321295005077504,Wed May 13 02:58:07 +0000 2015,47,61,☀️ http://t.co/ilvm4mOfWW
13,598315905097928706,Wed May 13 02:36:42 +0000 2015,26,40,🔄 http://t.co/7SIoMFpbrj
14,596500362867048449,Fri May 08 02:22:23 +0000 2015,17,42,💯💯💯 http://t.co/mbEHFWvUid
15,595693531513094145,Tue May 05 20:56:20 +0000 2015,26,36,http://t.co/OYZNvo6hgr
