,id_str,created_at,retweet_count,favorite_count,text
83,668486294255742976,Sun Nov 22 17:48:47 +0000 2015,0,0,"RT: @hajarsharf6 @bambam2396 @juliensartin is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
84,668486292364091392,Sun Nov 22 17:48:46 +0000 2015,0,0,"RT: @DonniesOntGirl @Sohailkarim52g1 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
85,668469953943568384,Sun Nov 22 16:43:51 +0000 2015,0,1,"RT: @YOKA_faried95 @carolinaexecs is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
86,668469951905181696,Sun Nov 22 16:43:50 +0000 2015,0,1,"RT: @inspHealthfit @swartzrich36 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
87,668453758683123712,Sun Nov 22 15:39:29 +0000 2015,0,0,"RT: @Angiekuv327 @manaig_steven @ziehrg18 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
88,668437222345936896,Sun Nov 22 14:33:47 +0000 2015,0,0,"RT: @Uniquesale7 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
89,668420994764115969,Sun Nov 22 13:29:18 +0000 2015,0,1,"RT: @kelli_cherise is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
90,668420992717320192,Sun Nov 22 13:29:17 +0000 2015,0,0,"RT: @javieralcivar87 @Maknows666 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
91,668420990582439936,Sun Nov 22 13:29:17 +0000 2015,0,0,"RT: @esm_villarreal @Korie26996 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
92,668388329885335552,Sun Nov 22 11:19:30 +0000 2015,0,0,"RT: @BurnsTt29468 @palmohit006 @Evivas05 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
93,668371797654441988,Sun Nov 22 10:13:48 +0000 2015,0,0,"RT: @hauli_anshul is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
94,668371793875304448,Sun Nov 22 10:13:48 +0000 2015,0,1,"RT: @Smart_Angel67 @MatlhareOratile is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
95,668371791635607552,Sun Nov 22 10:13:47 +0000 2015,0,0,"RT: @iambloodthirsty @ImAngelMarieGT is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
96,668371788259155968,Sun Nov 22 10:13:46 +0000 2015,1,1,"RT: @smvalenton @FriarStWorcs is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
97,668339051867410432,Sun Nov 22 08:03:41 +0000 2015,0,0,"RT: @ceyhun_seyhun @claudiajenelle is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
98,668322894192087040,Sun Nov 22 06:59:29 +0000 2015,1,1,"RT: @strikersunny1 @iPushThots is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
99,668306316033593345,Sun Nov 22 05:53:36 +0000 2015,0,0,"RT: @elenacondust @Nastya_mars_lol is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
100,668289983854211072,Sun Nov 22 04:48:43 +0000 2015,0,1,"RT: @kayykruse @DjKuttz is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
101,668289981996109824,Sun Nov 22 04:48:42 +0000 2015,0,1,"RT: @real_Atlantakid @Bug_Education is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
102,668289980070932481,Sun Nov 22 04:48:42 +0000 2015,0,0,"RT: @mantserova842 @MallyMall_25 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
103,668257465352323072,Sun Nov 22 02:39:30 +0000 2015,0,1,"RT: @HNSpromotions @Candy_Cuffs is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
104,668240913064267776,Sun Nov 22 01:33:43 +0000 2015,0,1,"RT: @PLS_opportunity is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
105,668224571590381568,Sun Nov 22 00:28:47 +0000 2015,0,1,"RT: @Alayna191 @BaaabyyG is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
