,id_str,created_at,retweet_count,favorite_count,text
0,524074644228169728,Mon Oct 20 05:48:26 +0000 2014,0,1,@AsapRachie I'll cover for you ASAP haha!
1,521892052640874496,Tue Oct 14 05:15:36 +0000 2014,0,2,"@AsapRachie I'll see what I can do about this, Rachel."
2,521890654058606592,Tue Oct 14 05:10:02 +0000 2014,1,5,"@KaydenWasley Thanks for the follow ""Swag Daddy."" Haha!"
3,521890266903355392,Tue Oct 14 05:08:30 +0000 2014,0,3,@reinhardt_kate Thank you Kate!
4,521888884406247424,Tue Oct 14 05:03:00 +0000 2014,4,18,Damonte admin got nothin on me
5,443944809623851008,Thu Mar 13 03:01:05 +0000 2014,1,0,"RT @RWiggins1340: @Teresa_Burrows 
Hey, I was one of your students a while back.  It's cool that you are on here.  I"
6,443854608981450752,Wed Mar 12 21:02:39 +0000 2014,0,4,Just another day in heaven. http://t.co/xnEM3JaVEv
7,443594048222154752,Wed Mar 12 03:47:17 +0000 2014,1,2,One of the students at Galena(best school ever) made me a new picture. LOL
8,443574532557647872,Wed Mar 12 02:29:44 +0000 2014,1,3,Such a rough day but I know I'll always have the amazing galena staff by my side. #blessed
9,443264280238882816,Tue Mar 11 05:56:54 +0000 2014,0,1,@jourdylabadie11 My support goes out to your family. Hope he wins!
10,443262475467649024,Tue Mar 11 05:49:44 +0000 2014,0,0,@yaboymurdock whoever did this is going to be in serious trouble tomorrow morning. I'll see you in the den and you know who you are.
11,443262304935628800,Tue Mar 11 05:49:03 +0000 2014,1,2,@CazTomaszewski thumbs up Caz
12,443259313868398592,Tue Mar 11 05:37:10 +0000 2014,0,2,@allie_shulman Thanks for the follow still getting used to the TweetSphere!
13,443258039773061120,Tue Mar 11 05:32:06 +0000 2014,1,7,My cats Misty and Dusty on the porch last summer http://t.co/1dvSkBVNEt
14,443255233708175360,Tue Mar 11 05:20:57 +0000 2014,1,2,It has come to my attention that many of you have been talking about me on this social site so it's time to monitor that.
15,443247838730792960,Tue Mar 11 04:51:34 +0000 2014,3,8,I'm a tweeter now.
16,443247154090344448,Tue Mar 11 04:48:51 +0000 2014,1,0,RT @jaymelch84: @haihoff @reinhardt_kate hey don't be mean to burrows
