,id_str,created_at,retweet_count,favorite_count,text
27,667350225867010050,Thu Nov 19 14:34:27 +0000 2015,0,0,Boise State vs. Ari... https://t.co/0kxYO7f0zY #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/bP6gIaqJED
28,667112113396039680,Wed Nov 18 22:48:16 +0000 2015,1,1,Boise State and the... https://t.co/U8dH3XID2L #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/ePdi0DPNSN
29,667093536018313216,Wed Nov 18 21:34:27 +0000 2015,0,0,Last of the Basebal... https://t.co/jRTbE9LEL1 #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/sYP1acoMsu
30,667089550888464384,Wed Nov 18 21:18:37 +0000 2015,0,0,Nevada Has a Lot to... https://t.co/Paw8nFPVco #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/BxXF4kubqO
31,667079748892233728,Wed Nov 18 20:39:40 +0000 2015,0,0,Bulldog's Recruitin... https://t.co/QAVaS4dmlh #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/nZpZqXcU7n
32,667013995908362241,Wed Nov 18 16:18:23 +0000 2015,0,0,Utah State Cruises ... https://t.co/inSh3KOc1B #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/EZGovv3Aqj
33,666995549082554368,Wed Nov 18 15:05:05 +0000 2015,0,0,Week 12 Mountain We... https://t.co/ZhmOgT15Ic #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/3GQC0YCXGT
34,666965217562238977,Wed Nov 18 13:04:34 +0000 2015,0,1,Colorado State foot... https://t.co/b9uKNB91kX #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMPKoC https://t.co/ajrvnezlXU
35,666859700185509888,Wed Nov 18 06:05:16 +0000 2015,0,0,Boise State Footbal... https://t.co/KwLS5dAmWC #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/xMLXmuQdAR
36,666840316201205760,Wed Nov 18 04:48:15 +0000 2015,0,0,Utah State vs. Adam... https://t.co/cisirGV5Cq #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/hkib7fEFNW
37,666802532388225024,Wed Nov 18 02:18:06 +0000 2015,0,0,Fresno State footba... https://t.co/AWX2rPuaLQ #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/FGgT1wNb4r
38,666757328184590336,Tue Nov 17 23:18:29 +0000 2015,0,0,Boise State vs. Nor... https://t.co/9TBo4uCG09 #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/lWFkjb2her
39,666603349915996160,Tue Nov 17 13:06:38 +0000 2015,0,0,Boise State footbal... https://t.co/GOaxJfIxnt #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/k7188S2N7I
40,666478761685069824,Tue Nov 17 04:51:34 +0000 2015,0,0,Air Force Basketbal... https://t.co/lzrMRnnU1C #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/0jdTVXr7kC
41,666459279684059137,Tue Nov 17 03:34:09 +0000 2015,0,0,Nevada Basketball: ... https://t.co/oVwt8rOwNm #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/OOH90x6qdq
42,666452017431244800,Tue Nov 17 03:05:17 +0000 2015,0,0,New Mexico basketba... https://t.co/slI3udddi3 #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/mTPDjyPvgi
43,666414070459842560,Tue Nov 17 00:34:30 +0000 2015,0,0,Week 11 Mountain We... https://t.co/oG3i3sQR1C #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/a6M7aOtnp2
44,666406490987597824,Tue Nov 17 00:04:23 +0000 2015,0,0,Mountain West baske... https://t.co/jmX8NRIh35 #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/OMdQGKOZ1X
45,666387381717614593,Mon Nov 16 22:48:27 +0000 2015,1,0,San Jose State Bask... https://t.co/Dvw0KATQhy #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/eOwgG3EjzE
46,666364947765465088,Mon Nov 16 21:19:18 +0000 2015,0,0,Week 11 Mountain We... https://t.co/34p9xh91HI #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/m6zfuE54FT
47,666297135583768576,Mon Nov 16 16:49:50 +0000 2015,0,0,Boise State vs. Nor... https://t.co/1YOhP1AJzQ #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/dHJiSVK6gF
